year,ages,parity,percentage
2005,40-44,8,1.0061985718854594
2005,40-44,9,0.8240108379898251
2005,40-44,10,0.50224821075064
2005,40-44,11,0.23685506009085616
2005,40-44,12,0.13691035424898995
2005,40-44,13,0.048350547694659705
2005,40-44,14,0.010938391961393318
2005,40-44,15,0.0
2005,40-44,16,0.0
2005,40-44,17,0.0
2005,45-49,0,0.2098892404380133
2005,45-49,1,0.2516471638585605
2005,45-49,2,0.27052333143831414
2005,45-49,3,0.3449339666976099
2005,45-49,4,0.41745357333755384
2005,45-49,5,0.596354805396055
2005,45-49,6,0.7226684537528127
2005,45-49,7,0.8093355401386945
2005,45-49,8,1.1170436338033618
2005,45-49,9,0.7178589482230842
2005,45-49,10,0.5982560517937563
2005,45-49,11,0.5436332058065635
2005,45-49,12,0.2578361516459857
2005,45-49,13,0.030392199588358676
2005,45-49,14,0.022274852679046213
2005,45-49,15,0.0
2005,45-49,16,0.0
2005,45-49,17,0.0
2010-11,15-19,0,18.46152453781432
2010-11,15-19,1,2.501554363365022
2010-11,15-19,2,0.7595778611402358
2010-11,15-19,3,0.0989188359332319
2010-11,15-19,4,0.03491715957015387
2010-11,15-19,5,0.0
2010-11,15-19,6,0.0
2010-11,15-19,7,0.0
2010-11,15-19,8,0.0
2010-11,15-19,9,0.0
2010-11,15-19,10,0.0
2010-11,15-19,11,0.0
2010-11,15-19,12,0.0
2010-11,15-19,13,0.0
2010-11,15-19,14,0.0
2010-11,15-19,15,0.0
2010-11,15-19,16,0.0
2010-11,15-19,17,0.0
2010-11,20-24,0,9.514816752882362
2010-11,20-24,1,5.030348107115208
2010-11,20-24,2,3.4000456741075427
2010-11,20-24,3,1.7178037396329509
2010-11,20-24,4,0.5384407056201954
2010-11,20-24,5,0.2389812847692093
2010-11,20-24,6,0.07667763249255004
2010-11,20-24,7,0.005639578014587456
2010-11,20-24,8,0.0
2010-11,20-24,9,0.0
2010-11,20-24,10,0.0
2010-11,20-24,11,0.0
2010-11,20-24,12,0.0
2010-11,20-24,13,0.0
2010-11,20-24,14,0.0
2010-11,20-24,15,0.0
2010-11,20-24,16,0.0
2010-11,20-24,17,0.0
2010-11,25-29,0,3.7091103091233366
2010-11,25-29,1,3.23363656543606
2010-11,25-29,2,3.181301545101687
2010-11,25-29,3,3.209436616459759
2010-11,25-29,4,2.1976632622542325
2010-11,25-29,5,1.2890731371435245
2010-11,25-29,6,0.516522245677338
2010-11,25-29,7,0.1127407125100667
2010-11,25-29,8,0.029497743462489984
2010-11,25-29,9,0.024710109608012995
2010-11,25-29,10,0.0
2010-11,25-29,11,0.0
2010-11,25-29,12,0.0
2010-11,25-29,13,0.0
2010-11,25-29,14,0.0
2010-11,25-29,15,0.0
2010-11,25-29,16,0.0
2010-11,25-29,17,0.0
2010-11,30-34,0,1.6206201726930276
2010-11,30-34,1,1.383884343046035
2010-11,30-34,2,1.8950437955121218
2010-11,30-34,3,1.9048982702579635
2010-11,30-34,4,1.906419802637559
2010-11,30-34,5,2.153466411211381
2010-11,30-34,6,1.5726776306807193
2010-11,30-34,7,0.8429566919928496
2010-11,30-34,8,0.26980004429333243
2010-11,30-34,9,0.11533199884043166
2010-11,30-34,10,0.02156242348229946
2010-11,30-34,11,0.007319091016122977
2010-11,30-34,12,0.0
2010-11,30-34,13,0.0
2010-11,30-34,14,0.0
2010-11,30-34,15,0.0
2010-11,30-34,16,0.0
2010-11,30-34,17,0.0
2010-11,35-39,0,0.7158443833757622
2010-11,35-39,1,0.8935220029973918
2010-11,35-39,2,1.0743857075208232
2010-11,35-39,3,1.2774409851943282
2010-11,35-39,4,1.568104581221699
2010-11,35-39,5,1.5846993670251601
2010-11,35-39,6,1.5609889004552022
2010-11,35-39,7,1.1762200011251798
2010-11,35-39,8,0.9357928022832698
2010-11,35-39,9,0.43016368509860337
2010-11,35-39,10,0.20320263871361233
2010-11,35-39,11,0.14956837692237385
2010-11,35-39,12,0.013464539759317551
2010-11,35-39,13,0.0
2010-11,35-39,14,0.0
2010-11,35-39,15,0.0
2010-11,35-39,16,0.0
2010-11,35-39,17,0.0
2010-11,40-44,0,0.525700101352097
2010-11,40-44,1,0.5028123272849673
2010-11,40-44,2,0.5899070301371601
2010-11,40-44,3,0.7412435036917627
2010-11,40-44,4,0.8198245018117882
2010-11,40-44,5,1.146050687036272
2010-11,40-44,6,1.0807756297466382
2010-11,40-44,7,1.0034547348887277
2010-11,40-44,8,0.8840155904642851
2010-11,40-44,9,0.7607800029031859
2010-11,40-44,10,0.4333729087051195
2010-11,40-44,11,0.20485047782431418
2010-11,40-44,12,0.08687174262808751
2010-11,40-44,13,0.009571525995546979
2010-11,40-44,14,0.0
2010-11,40-44,15,0.0
2010-11,40-44,16,0.0
2010-11,40-44,17,0.0
2010-11,45-49,0,0.28846872734058476
2010-11,45-49,1,0.2852221630915846
2010-11,45-49,2,0.33455357557645854
2010-11,45-49,3,0.4141321833332158
2010-11,45-49,4,0.5535108420119387
2010-11,45-49,5,0.5286452823786167
2010-11,45-49,6,0.6795955817878432
2010-11,45-49,7,0.8693683314305203
2010-11,45-49,8,0.70813092724028
2010-11,45-49,9,0.5568272622017009
2010-11,45-49,10,0.5254809019642952
2010-11,45-49,11,0.1812563422078104
2010-11,45-49,12,0.09636147362118383
2010-11,45-49,13,0.01305374807190074
2010-11,45-49,14,0.008471424008098097
2010-11,45-49,15,0.004428193518349332
2010-11,45-49,16,0.0
2010-11,45-49,17,0.0029451491550256353
2012-13,15-19,0,20.462105266389045
2012-13,15-19,1,2.456354970099873
2012-13,15-19,2,0.37817466993294135
2012-13,15-19,3,0.03914748785645217
2012-13,15-19,4,0.0
2012-13,15-19,5,0.0
2012-13,15-19,6,0.0
2012-13,15-19,7,0.0
2012-13,15-19,8,0.0
2012-13,15-19,9,0.0
2012-13,15-19,10,0.0
2012-13,15-19,11,0.0
2012-13,15-19,12,0.0
2012-13,15-19,13,0.0
2012-13,15-19,14,0.0
2012-13,15-19,15,0.0
2012-13,15-19,16,0.0
2012-13,15-19,17,0.0
2012-13,20-24,0,9.950287587249615
2012-13,20-24,1,4.70795171569496
2012-13,20-24,2,3.8222818087909816
2012-13,20-24,3,1.7002077029559064
2012-13,20-24,4,0.35829674003437617
2012-13,20-24,5,0.0826544940745413
2012-13,20-24,6,0.0
2012-13,20-24,7,0.0
2012-13,20-24,8,0.0
2012-13,20-24,9,0.0
2012-13,20-24,10,0.0
2012-13,20-24,11,0.0
2012-13,20-24,12,0.0
2012-13,20-24,13,0.0
2012-13,20-24,14,0.0
2012-13,20-24,15,0.0
2012-13,20-24,16,0.0
2012-13,20-24,17,0.0
2012-13,25-29,0,3.8237830941310316
2012-13,25-29,1,3.011514543134368
2012-13,25-29,2,3.3940552274920375
2012-13,25-29,3,3.587699961786556
2012-13,25-29,4,2.3680695356897994
2012-13,25-29,5,1.0838181266767224
2012-13,25-29,6,0.43300842481752017
2012-13,25-29,7,0.0868045288757982
2012-13,25-29,8,0.018921155914621516
2012-13,25-29,9,0.0
2012-13,25-29,10,0.0
2012-13,25-29,11,0.0
2012-13,25-29,12,0.0
2012-13,25-29,13,0.0
2012-13,25-29,14,0.0
2012-13,25-29,15,0.0
2012-13,25-29,16,0.0
2012-13,25-29,17,0.0
2012-13,30-34,0,1.5133985292097276
2012-13,30-34,1,1.1954097564380128
2012-13,30-34,2,1.5848581528041243
2012-13,30-34,3,2.4107275377264132
2012-13,30-34,4,2.2679178319936586
2012-13,30-34,5,2.097551386611768
2012-13,30-34,6,1.2976302999061566
2012-13,30-34,7,0.6969778127957496
2012-13,30-34,8,0.18977767772821627
2012-13,30-34,9,0.04787490809073795
2012-13,30-34,10,0.0233224065603561
2012-13,30-34,11,0.0
2012-13,30-34,12,0.0
2012-13,30-34,13,0.0
2012-13,30-34,14,0.0
2012-13,30-34,15,0.0
2012-13,30-34,16,0.0
2012-13,30-34,17,0.0
2012-13,35-39,0,0.6474427263565304
2012-13,35-39,1,0.41315275059321566
2012-13,35-39,2,0.9700683912782492
2012-13,35-39,3,1.335104814138343
2012-13,35-39,4,1.4487334749634189
2012-13,35-39,5,1.4015363806856491
2012-13,35-39,6,1.4731782530090725
2012-13,35-39,7,1.212166229596315
