age,parity,dataset,percentage
25-29,4,DHS 2012-13,2.3680695356897994
25-29,5,DHS 2012-13,1.0838181266767224
25-29,6,DHS 2012-13,0.4330084248175201
25-29,7,DHS 2012-13,0.0868045288757982
25-29,8,DHS 2012-13,0.0189211559146215
30-34,0,DHS 2012-13,1.5133985292097276
30-34,1,DHS 2012-13,1.1954097564380128
30-34,2,DHS 2012-13,1.5848581528041243
30-34,3,DHS 2012-13,2.410727537726413
30-34,4,DHS 2012-13,2.2679178319936586
30-34,5,DHS 2012-13,2.097551386611768
30-34,6,DHS 2012-13,1.2976302999061566
30-34,7,DHS 2012-13,0.6969778127957496
30-34,8,DHS 2012-13,0.1897776777282162
30-34,9,DHS 2012-13,0.0478749080907379
30-34,10,DHS 2012-13,0.0233224065603561
35-39,0,DHS 2012-13,0.6474427263565304
35-39,1,DHS 2012-13,0.4131527505932156
35-39,2,DHS 2012-13,0.9700683912782492
35-39,3,DHS 2012-13,1.335104814138343
35-39,4,DHS 2012-13,1.4487334749634189
35-39,5,DHS 2012-13,1.4015363806856491
35-39,6,DHS 2012-13,1.4731782530090725
35-39,7,DHS 2012-13,1.212166229596315
35-39,8,DHS 2012-13,0.9552745165749144
35-39,9,DHS 2012-13,0.3862908349472093
35-39,10,DHS 2012-13,0.2269708927435371
35-39,11,DHS 2012-13,0.0597866498184403
40-44,0,DHS 2012-13,0.3036250161851409
40-44,1,DHS 2012-13,0.3447489399215043
40-44,2,DHS 2012-13,0.4681206300745487
40-44,3,DHS 2012-13,0.4596624664446252
40-44,4,DHS 2012-13,0.7326413381167225
40-44,5,DHS 2012-13,0.6612748363393937
40-44,6,DHS 2012-13,1.015549216423917
40-44,7,DHS 2012-13,1.2553647365044904
40-44,8,DHS 2012-13,0.9598822864456436
40-44,9,DHS 2012-13,0.6638830346188834
40-44,10,DHS 2012-13,0.534324892310857
40-44,11,DHS 2012-13,0.171534463000349
40-44,12,DHS 2012-13,0.0534103412455714
40-44,13,DHS 2012-13,0.0081827351866533
40-44,15,DHS 2012-13,0.00502914551399
45-49,0,DHS 2012-13,0.2777003515955009
45-49,1,DHS 2012-13,0.2335549248026511
45-49,2,DHS 2012-13,0.3782252141671495
45-49,3,DHS 2012-13,0.4839923649146595
45-49,4,DHS 2012-13,0.5763629429716935
45-49,5,DHS 2012-13,0.6671814251274626
45-49,6,DHS 2012-13,0.8210378772065726
45-49,7,DHS 2012-13,0.6066670309719061
45-49,8,DHS 2012-13,0.7856904009871981
45-49,9,DHS 2012-13,0.9368117094398256
45-49,10,DHS 2012-13,0.5516242904426566
