"age","paid_employment","paid_employment.se","decision_wages","decision_wages.se","sexual_autonomy","sexual_autonomy.se","decision_purchase","decision_purchase.se","decision_health","decision_health.se","buy_decision_major","buy_decision_major.se","buy_decision_daily","buy_decision_daily.se","decide_spending_partner","decide_spending_partner.se","buy_decision_clothes","buy_decision_clothes.se","has_savings","has_savings.se","has_fin_knowl","has_fin_knowl.se","has_fin_goals","has_fin_goals.se"
34,0.618644715409974,0.0212866614677597,0.533491639983745,0.023935376099805,0.733894975251429,0.0297941895925937,0.819355721850442,0.0190321872543314,0.875216667450322,0.01361287363052,0.745496533969109,0.0232814200981292,0.857679862968736,0.0179415292804296,0.529761508137954,0.0238960256283573,0.872599152037559,0.0171837347631903,0.493210505338762,0.0257645067528484,0.542292116714282,0.0277146839788447,0.82425245995226,0.0220981293834206
35,0.640670977795848,0.0195625982684935,0.516387534523277,0.02269364599971,0.761875381492494,0.0252652856563939,0.818874486175059,0.0196303509040477,0.856496610649952,0.017146750545642,0.753250302676493,0.0242387694852817,0.8676946865193,0.0159629334468773,0.529975351936602,0.0278031474075809,0.87712067593959,0.0174040848076326,0.488462135607166,0.0248492924233305,0.555696013879177,0.0286370947335758,0.802249780147848,0.023468513292652
36,0.639447668376881,0.0234382948372598,0.51750882899827,0.0262679527740646,0.812621267240221,0.0230409417865899,0.777916908718938,0.0214010404795768,0.867081788716523,0.015406167566982,0.759925548736759,0.0202707240423833,0.877656305331793,0.0163943600494155,0.533575933052052,0.025595510966235,0.879474060591767,0.0165796778105833,0.478151795164948,0.0252083656730837,0.510908606064355,0.0334017847461362,0.82551321161286,0.0226787482921086
37,0.687251700160324,0.0212277591836031,0.581685338336244,0.0255906024988101,0.754293521352944,0.0310239536141332,0.764293315464276,0.0241623778390964,0.875904771255767,0.0190408000420986,0.734666364478435,0.0256041638247935,0.836067492305745,0.0232639164941653,0.520520451288213,0.0289059186644869,0.841942525502356,0.0200429625740742,0.527053476924711,0.0263454250404201,0.51686698970429,0.0322596377125693,0.810216092387412,0.0229883143270269
38,0.665270734188021,0.0227802106142185,0.575730183739372,0.0269361328268111,0.798712949846952,0.0239500116645226,0.791702613537346,0.0200278360333947,0.831325853023051,0.0202318918578947,0.72794595654532,0.0254716792052464,0.855582057661054,0.0185859439963229,0.543054110784306,0.0348266597933569,0.901777234943325,0.0160702368655264,0.543571072214506,0.0264237063333613,0.582914672958398,0.0291648238438119,0.82049587819717,0.0257179814299512
39,0.647416713063828,0.0224211367570408,0.516795202364313,0.0246352691998031,0.768121184257995,0.0292313475219013,0.818493048253292,0.021410408598349,0.894093845995971,0.0156927759032191,0.744826578543473,0.0254332589215527,0.877104644703135,0.0201649823368907,0.540611509448334,0.0305513531077498,0.895447532922041,0.0201823051796569,0.491682755406657,0.0268807292844926,0.532773456469803,0.0341657971143184,0.803713922246622,0.0264188163620988
40,0.640918617146625,0.0246845468210755,0.538243572474249,0.0299800950676366,0.775222890871648,0.0307829792848354,0.785316284944656,0.0269387387626885,0.883256782273859,0.0179712365448949,0.744556070511868,0.0251647590526509,0.877458106676051,0.0192836131002103,0.564506340205522,0.0306265609443705,0.892989942063206,0.0183703317985532,0.489582655582134,0.0254667453000277,0.526861271785695,0.0313567178552565,0.857726260992602,0.0235845801314615
41,0.67363186413202,0.0284625515707587,0.572260498606524,0.0331196226054859,0.787565153601271,0.0318442809953093,0.804545299656351,0.0275576691289696,0.88633052042283,0.0212006241141366,0.753075519194987,0.0268761964078691,0.890484607851008,0.0177928456468225,0.568405307994224,0.0315571415116237,0.916714610851413,0.0160948464753569,0.492514231708861,0.0268775112385204,0.542918438131383,0.0320575035840835,0.82387333808781,0.0248472029996648
42,0.67498517136553,0.0240267297693143,0.563815385059852,0.0298469499222448,0.793578556629209,0.0312070511047834,0.797565943609468,0.0260653937298464,0.894135775287448,0.0179188181599109,0.734763762577511,0.0252964337120158,0.867424329297002,0.0227609939945482,0.517105690635764,0.0318642484542488,0.880798775624783,0.019504006359719,0.505660264940856,0.0251750313148756,0.479141925646517,0.0328229091052908,0.818087057387751,0.0241440050663997
43,0.642873479571746,0.02354245613406,0.515635935276993,0.0284804195106297,0.700460526057326,0.0365817943793465,0.817335480578841,0.0207370050883494,0.882181592293857,0.0173117961288193,0.801217450033287,0.023573564882697,0.867942605666093,0.0199905075752901,0.554090705536339,0.0331669209244474,0.92851650362609,0.0138231032872076,0.524503229001362,0.0277077302914227,0.560250079950389,0.0349646037033765,0.813845488037128,0.0300921507926278
44,0.631104542788814,0.0223258413499751,0.491471595504786,0.027407885250543,0.756103144734241,0.0326948443720555,0.797926462855101,0.0243411981670277,0.859892680514069,0.0174635966917903,0.792704582178999,0.0293402053610374,0.897986529968945,0.0173324396181179,0.580298777424759,0.033334382505812,0.892551966362879,0.0160206873735195,0.49492446285221,0.0319134130147288,0.556042381671233,0.0375524744784247,0.826919067810526,0.0298008990105152
45,0.614812735513002,0.0251478846290025,0.485318693386777,0.0297572249186154,0.781219571708744,0.0312930717107865,0.826163784083402,0.0271508745412321,0.875258480448292,0.0190753930966235,0.752555109302436,0.0287838031022727,0.906895033128577,0.016891107904179,0.527390731176447,0.0346331642427579,0.897206195722276,0.0177928877748734,0.521567783049537,0.0288143369758281,0.560858240210498,0.033204822660033,0.784558587491113,0.0251569337151788
46,0.619311137789379,0.0252411570788096,0.502576210331369,0.0291591311227298,0.724820640005514,0.0354836010508633,0.834265184853641,0.0241875417291917,0.916451797073837,0.0161751082156201,0.781331106952499,0.0257313100355827,0.881760147279592,0.0206267359595769,0.500055332246671,0.0321420291578788,0.884246339563455,0.0195533751305032,0.531469003776128,0.0299023865009219,0.537353885790104,0.0329431604255177,0.780265589229818,0.0261342554623777
47,0.606918082581062,0.029566682518523,0.471646245569311,0.0327769275522836,0.765826223566649,0.03372706416116,0.82506250115308,0.0278967816838924,0.894284242782757,0.0194160338043831,0.831981128082592,0.0241381583980587,0.903923149677649,0.021258490121114,0.576025626501968,0.0294673812223596,0.928730155067467,0.0157550024584361,0.521976091980068,0.0293997330905235,0.507973528376255,0.0390559679507804,0.788771594990876,0.0317225338580741
48,0.61532119356084,0.0271084965743973,0.486616666040722,0.0331141216518437,0.767359803516851,0.0343538113903935,0.83166342686753,0.0280853041532879,0.920278976736407,0.0146254684576561,0.792023708227469,0.0323860703746628,0.898045155751858,0.0222824877606273,0.478078360178014,0.0374534765588323,0.887532340857094,0.0220862452794065,0.51949427053902,0.032606168582827,0.541308080828719,0.0418651403173606,0.807637637034863,0.042253042817246
49,0.598797176142054,0.0336230991846569,0.463015716176986,0.0379155419987847,0.72385808314574,0.0514633486289917,0.805800940838729,0.0304596178601701,0.917691805589823,0.019845590310643,0.831176313309951,0.0296004626614948,0.912066422110915,0.0192518638443896,0.468981463267913,0.0462464707845646,0.94000552770043,0.0162091904339474,0.487641987631435,0.0330441741258539,0.49656824459808,0.0391474334438427,0.808575314562554,0.0337429352074834
