"age","edu","parity","cum.percent"
17,20,"5",NA
18,20,"5",NA
19,20,"5",NA
20,20,"5",0
21,20,"5",NA
22,20,"5",0
23,20,"5",0
24,20,"5",0
25,20,"5",0
26,20,"5",0
27,20,"5",0
28,20,"5",0.00346500991325984
29,20,"5",0
30,20,"5",0
31,20,"5",0
32,20,"5",0.00338513611403489
33,20,"5",0
34,20,"5",0
35,20,"5",0.00574120104193037
36,20,"5",0
37,20,"5",0
38,20,"5",0
39,20,"5",0
40,20,"5",0
41,20,"5",0
42,20,"5",0
43,20,"5",0
44,20,"5",0
45,20,"5",0
46,20,"5",0
47,20,"5",0
48,20,"5",0
49,20,"5",0
15,20,"6",NA
16,20,"6",NA
17,20,"6",NA
18,20,"6",NA
19,20,"6",NA
20,20,"6",NA
21,20,"6",0
22,20,"6",NA
23,20,"6",0
24,20,"6",0
25,20,"6",0
26,20,"6",0
27,20,"6",0
28,20,"6",0
29,20,"6",0
30,20,"6",0
31,20,"6",0
32,20,"6",0
33,20,"6",0
34,20,"6",0
35,20,"6",0
36,20,"6",0
37,20,"6",0.00918534247645997
38,20,"6",0
39,20,"6",0
40,20,"6",0.00609736158749846
41,20,"6",0
42,20,"6",0
43,20,"6",0
44,20,"6",0
45,20,"6",0
46,20,"6",0
47,20,"6",0
48,20,"6",0
49,20,"6",0
15,19,"0",0.00186151982888408
16,19,"0",0.00847715641027646
17,19,"0",0.000752542315942427
18,19,"0",0.00155555868116161
19,19,"0",0.00426463448312432
20,19,"0",0
21,19,"0",0
22,19,"0",0
23,19,"0",0
24,19,"0",0
25,19,"0",0
26,19,"0",0
27,19,"0",0
28,19,"0",0
29,19,"0",0
30,19,"0",0.0259360426415618
31,19,"0",0
32,19,"0",0
33,19,"0",0
34,19,"0",0
35,19,"0",0
36,19,"0",0
37,19,"0",0
38,19,"0",0
39,19,"0",0
40,19,"0",0
41,19,"0",0
42,19,"0",0
43,19,"0",0.0827926676867699
44,19,"0",0
45,19,"0",0
46,19,"0",0
47,19,"0",0
48,19,"0",0
49,19,"0",0
15,19,"1",0
16,19,"1",0
17,19,"1",0
18,19,"1",0
19,19,"1",0
20,19,"1",0
21,19,"1",0.00439179672270622
22,19,"1",0
23,19,"1",0
24,19,"1",0
25,19,"1",0
26,19,"1",0.0464707009151289
27,19,"1",0
28,19,"1",0.0171023147294262
29,19,"1",0.0404488014509684
30,19,"1",0
31,19,"1",0
32,19,"1",0.0966383320161758
33,19,"1",0
34,19,"1",0
35,19,"1",0
36,19,"1",0
37,19,"1",0
38,19,"1",0
39,19,"1",0
40,19,"1",0
41,19,"1",0
42,19,"1",0
43,19,"1",0
44,19,"1",0
45,19,"1",0
46,19,"1",0
47,19,"1",0
48,19,"1",0
49,19,"1",0
15,19,"2",NA
16,19,"2",0
17,19,"2",0
18,19,"2",0
19,19,"2",0
20,19,"2",0.00153891602159822
21,19,"2",0
22,19,"2",0
23,19,"2",0
24,19,"2",0
25,19,"2",0
26,19,"2",0.0083762413234618
27,19,"2",0
28,19,"2",0
29,19,"2",0
30,19,"2",0
31,19,"2",0
32,19,"2",0
33,19,"2",0
34,19,"2",0
35,19,"2",0
36,19,"2",0
37,19,"2",0
38,19,"2",0
39,19,"2",0
40,19,"2",0
41,19,"2",0
42,19,"2",0
43,19,"2",0
44,19,"2",0
45,19,"2",0
46,19,"2",0
47,19,"2",0
48,19,"2",0
49,19,"2",0.0193071524987894
15,19,"3",NA
16,19,"3",NA
17,19,"3",0
18,19,"3",0
19,19,"3",0
20,19,"3",0
21,19,"3",0.00400273413944388
22,19,"3",0
23,19,"3",0
24,19,"3",0.00524222702855971
25,19,"3",0
26,19,"3",0
27,19,"3",0
28,19,"3",0
29,19,"3",0
30,19,"3",0.00357087129781037
31,19,"3",0
32,19,"3",0
33,19,"3",0
34,19,"3",0
35,19,"3",0
36,19,"3",0
37,19,"3",0
38,19,"3",0
39,19,"3",0
40,19,"3",0
41,19,"3",0
42,19,"3",0
43,19,"3",0
44,19,"3",0
45,19,"3",0
46,19,"3",0
47,19,"3",0
48,19,"3",0
49,19,"3",0
15,19,"4",NA
16,19,"4",NA
17,19,"4",NA
18,19,"4",NA
19,19,"4",0
20,19,"4",0
21,19,"4",0
22,19,"4",0
23,19,"4",0
24,19,"4",0
25,19,"4",0
26,19,"4",0
27,19,"4",0
28,19,"4",0
29,19,"4",0.023717997218881
30,19,"4",0
31,19,"4",0.0161022776693868
32,19,"4",0
33,19,"4",0
34,19,"4",0
35,19,"4",0
36,19,"4",0
37,19,"4",0
38,19,"4",0
39,19,"4",0
40,19,"4",0
41,19,"4",0
42,19,"4",0.00791601432320862
43,19,"4",0
44,19,"4",0
45,19,"4",0
46,19,"4",0
47,19,"4",0
48,19,"4",0
49,19,"4",0
15,19,"5",NA
16,19,"5",NA
17,19,"5",NA
18,19,"5",NA
19,19,"5",NA
20,19,"5",0
21,19,"5",NA
22,19,"5",0
23,19,"5",0
24,19,"5",0
25,19,"5",0
26,19,"5",0
27,19,"5",0
28,19,"5",0.00346500991325984
29,19,"5",0
30,19,"5",0
31,19,"5",0
32,19,"5",0.00338513611403489
33,19,"5",0
34,19,"5",0
35,19,"5",0.00574120104193037
36,19,"5",0
37,19,"5",0
38,19,"5",0
39,19,"5",0
40,19,"5",0
41,19,"5",0
42,19,"5",0
43,19,"5",0
44,19,"5",0
45,19,"5",0
46,19,"5",0
47,19,"5",0
48,19,"5",0
49,19,"5",0
15,19,"6",NA
16,19,"6",NA
17,19,"6",NA
18,19,"6",NA
19,19,"6",NA
