rhs,Estimate,Std. Error,t value,Pr(>|t|),region
prior_userTRUE,3.198173578210409,1.0462657267499842,3.056750781796989,0.004411393715158721,Dire Dawa
(Intercept),-2.8148589775900112,0.37033525735292,-7.600839838232099,3.253278365799314e-9,Gambela
"age_grp(18,20]",1.9205559008872568,0.4419461739820673,4.345678306438256,9.612993638795832e-5,Gambela
"age_grp(18,20]:prior_userTRUE",-1.530895989291571,1.248018328045218,-1.2266614639301225,0.22730420102373994,Gambela
"age_grp(20,25]",1.8737403506309789,0.40931035587555714,4.577798542680052,4.6982528200628355e-5,Gambela
"age_grp(20,25]:prior_userTRUE",-1.994710600031868,0.9918715487881486,-2.0110573818444237,0.05126799385149677,Gambela
"age_grp(25,35]",1.695213782420032,0.3529026781688625,4.8036296896814115,2.3227233914522805e-5,Gambela
"age_grp(25,35]:prior_userTRUE",-1.1088389775126992,0.9617830090217562,-1.1528993204408091,0.2559692190818356,Gambela
"age_grp(35,50]",-0.6141692823728392,0.6361036650387925,-0.9655175974113974,0.3402349046570109,Gambela
"age_grp(35,50]:prior_userTRUE",2.5283489696885715,1.112454303576784,2.2727665860605475,0.02862977556806145,Gambela
prior_userTRUE,3.271790773999832,1.0150874464997093,3.223161497348661,0.002562668116535415,Gambela
(Intercept),-3.780993707271417,0.578524910331413,-6.535576324804134,2.0121420979250055e-7,Harari
"age_grp(18,20]",2.0640042284633338,0.7483325001667328,2.758137897262863,0.009404147121023235,Harari
"age_grp(18,20]:prior_userTRUE",-16.91052995975009,1.3790198686899453,-12.262716690090128,7.765869793187233e-14,Harari
"age_grp(20,25]",2.7243883966291484,0.6082088558776751,4.4793632488262975,8.476911095494537e-5,Harari
"age_grp(20,25]:prior_userTRUE",-16.779086518454964,0.9019568713722778,-18.602980975050954,4.619426023343977e-19,Harari
"age_grp(25,35]",1.9226226712554468,0.6543700424809906,2.9381275829284297,0.005983204755596081,Harari
"age_grp(25,35]:prior_userTRUE",-15.39949394915811,0.940076759267181,-16.381102710338773,2.0610857962921236e-17,Harari
"age_grp(35,50]",0.665326732479101,0.7493385730820099,0.8878853383226084,0.38102842491261524,Harari
"age_grp(35,50]:prior_userTRUE",-14.235446521467809,1.06253965123859,-13.397567333015493,6.730082777877978e-15,Harari
prior_userTRUE,18.381962745986364,0.9087775983369828,20.227130135716845,3.6227403842727685e-20,Harari
(Intercept),-3.5683247255935022,0.3234691406163656,-11.031422406459278,3.6511214113002406e-16,Oromia
"age_grp(18,20]",2.023859775500421,0.44739604990311077,4.523642477260837,2.864814462580919e-5,Oromia
"age_grp(18,20]:prior_userTRUE",-16.958242392410742,1.0048385465820378,-16.876584253355198,1.1636894692239404e-24,Oromia
"age_grp(20,25]",2.4173556027096863,0.3345042617913709,7.226681028708036,9.443564938065035e-10,Oromia
"age_grp(20,25]:prior_userTRUE",-15.54831515502864,0.7518369027446669,-20.68043627317006,2.970084945541029e-29,Oromia
"age_grp(25,35]",2.4269231635786976,0.31197677989187705,7.779178836385853,1.0555018403666831e-10,Oromia
"age_grp(25,35]:prior_userTRUE",-15.412834379719177,0.6503326492502534,-23.699924027323732,1.8050173580029002e-32,Oromia
"age_grp(35,50]",1.1355404997853675,0.41361908265602126,2.7453774436459426,0.007930355118040347,Oromia
"age_grp(35,50]:prior_userTRUE",-15.028036818056007,0.7935035183222969,-18.938840812993192,3.118878368923556e-27,Oromia
prior_userTRUE,18.16416082715614,0.5815897892765473,31.231911498568355,3.153541393002957e-39,Oromia
(Intercept),-4.003885983653532,0.42894859490958187,-9.334186033404567,3.1830768087772153e-13,Sidama
"age_grp(18,20]",2.403355284716928,0.4574386139308239,5.25394055404421,2.1460186526810943e-6,Sidama
"age_grp(18,20]:prior_userTRUE",0.16282644376141822,1.2162115311621717,0.13388003615277896,0.8939530701340795,Sidama
"age_grp(20,25]",2.9079595000311054,0.453200530789674,6.416496236145543,2.6077037509640237e-8,Sidama
