"region","age_partner","percent"
"southwest","13",0.055478015156334
"southwest","14",0.100950294267243
"southwest","15",0.124489730832794
"southwest","16",0.12272370919151
"southwest","17",0.132445348173741
"southwest","18",0.106142373823235
"southwest","19",0.0688007042528018
"southwest","20",0.07121131043811
"southwest","21",0.0386091870372282
"southwest","22",0.0451046058805795
"southwest","23",0.0337025015204837
"southwest","24",0.0143726777916505
"southwest","25",0.0125128193268895
"southwest","26",0.00835603055855668
"southwest","27",0.0079706654666377
"southwest","28",0.0021227766362907
"southwest","29",0.00375123829611148
"southwest","30",0
"southwest","31",0.000957221573916977
"southwest","32",0.000687907267147301
"southwest","33",0.00130966182916533
"southwest","34",0.00066746604143532
"southwest","35",0.00151388707238167
"southwest","36",0
"southwest","37",0.00066746604143532
"southwest","38",0
"southwest","39",0
"southwest","40",0
"southwest","42",0
"southwest","43",0
"tigray","10",0.019404614845167
"tigray","11",0.0249901182953926
"tigray","12",0.0536255269812968
"tigray","13",0.0791689961756006
"tigray","14",0.108853507290708
"tigray","15",0.162722002938858
"tigray","16",0.0941457258264126
"tigray","17",0.0978806050018158
"tigray","18",0.110433491398298
"tigray","19",0.0799817325591357
"tigray","20",0.0440371454730554
"tigray","21",0.0394029803185911
"tigray","22",0.0249020195870276
"tigray","23",0.0170591552836224
"tigray","24",0.014266969126383
"tigray","25",0.00916921660538401
"tigray","26",0.00413912205992213
"tigray","27",0.0045811375578822
"tigray","28",0.003010312343808
"tigray","29",0.00195882130540275
"tigray","30",0.00156200164681321
"tigray","31",0.00301647219265057
"tigray","32",0
"tigray","33",0
"tigray","34",0.000991753374548386
"tigray","35",0.000696571812224472
"tigray","36",0
"tigray","37",0
"tigray","38",0
"tigray","39",0
"tigray","40",0
"tigray","42",0
"tigray","43",0
