region,age,probs
Harari,29,0.006848730883786883
Harari,30,0.0015265600735664422
Harari,32,0.0018772328544276265
Harari,34,0.0014794132227320279
Oromia,10,0.0020606420196629025
Oromia,11,0.005894604951391797
Oromia,12,0.022925514611187404
Oromia,13,0.04231593114964454
Oromia,14,0.13685654475543996
Oromia,15,0.20206936380127366
Oromia,16,0.15403041905278098
Oromia,17,0.10532196806745307
Oromia,18,0.1114350602996775
Oromia,19,0.04728699611689632
Oromia,20,0.0638902271534744
Oromia,21,0.027658118959535218
Oromia,22,0.027747702591287733
Oromia,23,0.01712702884285881
Oromia,24,0.01046525775285674
Oromia,25,0.008001424050927602
Oromia,26,0.004565674793468344
Oromia,27,0.0031334166866074497
Oromia,28,0.0041947478583417
Oromia,29,0.001153713218834452
Oromia,30,5.741842633493257e-4
Oromia,31,0.0012914590030500214
Sidama,10,0.0023574428137916287
Sidama,11,0.001266813831139228
Sidama,12,0.011810547576044253
Sidama,13,0.04284702378232681
Sidama,14,0.09480237258028591
Sidama,15,0.19236761234609187
Sidama,16,0.1146192380999839
Sidama,17,0.12215791295575465
Sidama,18,0.13564112081511817
Sidama,19,0.06857460955973788
Sidama,20,0.0750891452327006
Sidama,21,0.038854714306909836
Sidama,22,0.028904580924657763
Sidama,23,0.03074215117176199
Sidama,24,0.012849164074230821
Sidama,25,0.01084169255250718
Sidama,26,0.004835748386894408
Sidama,27,0.003020914471399592
Sidama,28,0.003957730633671071
Sidama,29,0.0036931907184028882
Sidama,33,7.662731665895938e-4
Somali,11,0.006128744550030291
Somali,12,9.501848806423772e-4
Somali,13,0.02552470669443011
Somali,14,0.09192565280427617
Somali,15,0.1804877550444612
Somali,16,0.15533658470158984
Somali,17,0.11556101497000769
Somali,18,0.128403993160394
Somali,19,0.07572418954423651
Somali,20,0.10092140777844306
Somali,21,0.03876607328785652
Somali,22,0.017781190053304564
Somali,23,0.015119094443540298
Somali,24,0.014201589076733835
Somali,25,0.01894775644299056
Somali,26,0.004742935637403192
Somali,27,0.0033890874477811904
Somali,28,0.0019345915625332603
Somali,29,0.0018292943655882797
Somali,30,0.0014994457811407
Somali,31,8.247077726163504e-4
South,10,0.0023574428137916287
South,11,0.001266813831139228
South,12,0.011810547576044253
South,13,0.04284702378232681
South,14,0.09480237258028591
South,15,0.19236761234609187
South,16,0.1146192380999839
South,17,0.12215791295575465
South,18,0.13564112081511817
South,19,0.06857460955973788
South,20,0.0750891452327006
South,21,0.038854714306909836
