"region","wt","age","afb"
"addis_ababa",0.37311,18,Inf
"addis_ababa",0.37311,18,Inf
"addis_ababa",0.37311,18,Inf
"addis_ababa",0.404154,18,Inf
"addis_ababa",0.404154,18,Inf
"addis_ababa",0.957685,18,Inf
"addis_ababa",0.643373,18,Inf
"addis_ababa",0.485141,18,Inf
"addis_ababa",0.485141,18,Inf
"addis_ababa",0.627089,18,Inf
"addis_ababa",0.627089,18,Inf
"addis_ababa",0.489805,18,Inf
"addis_ababa",0.489805,18,Inf
"addis_ababa",0.427583,18,Inf
"addis_ababa",0.427583,18,Inf
"addis_ababa",0.708431,18,Inf
"addis_ababa",0.564132,18,Inf
"addis_ababa",0.564132,18,Inf
"addis_ababa",0.564132,18,Inf
"addis_ababa",0.388463,18,Inf
"addis_ababa",0.388463,18,Inf
"addis_ababa",0.591263,18,Inf
"addis_ababa",0.591263,18,Inf
"addis_ababa",0.591263,18,Inf
"addis_ababa",0.487009,18,Inf
"addis_ababa",0.487009,18,Inf
"addis_ababa",0.487009,18,Inf
"addis_ababa",0.487009,18,Inf
"addis_ababa",0.487009,18,Inf
"addis_ababa",0.479933,18,Inf
"addis_ababa",0.479933,18,Inf
"addis_ababa",0.430932,18,Inf
"addis_ababa",0.442586,18,Inf
"addis_ababa",0.442586,18,Inf
"addis_ababa",0.637581,18,Inf
"addis_ababa",0.637581,18,Inf
"addis_ababa",0.637581,18,Inf
"addis_ababa",0.463521,18,Inf
"addis_ababa",0.463521,18,Inf
"addis_ababa",0.463521,18,Inf
"addis_ababa",0.685395,18,Inf
"addis_ababa",0.462503,19,Inf
"addis_ababa",0.462503,19,Inf
"addis_ababa",0.418612,19,Inf
"addis_ababa",0.418612,19,Inf
"addis_ababa",0.5601,19,Inf
"addis_ababa",0.596064,19,Inf
"addis_ababa",0.596064,19,Inf
"addis_ababa",0.596064,19,Inf
"addis_ababa",0.55862,19,Inf
"addis_ababa",0.463867,19,Inf
"addis_ababa",0.463867,19,Inf
"addis_ababa",0.527982,19,19
"addis_ababa",0.527982,19,Inf
"addis_ababa",0.406922,19,Inf
"addis_ababa",0.447048,19,Inf
"addis_ababa",0.672066,19,Inf
"addis_ababa",0.672066,19,Inf
"addis_ababa",0.545426,19,Inf
"addis_ababa",0.545426,19,19
"addis_ababa",0.545426,19,Inf
"addis_ababa",0.363043,19,Inf
"addis_ababa",0.363043,19,Inf
"addis_ababa",0.571531,19,Inf
"addis_ababa",0.459105,19,Inf
"addis_ababa",0.459105,19,Inf
"addis_ababa",0.459105,19,Inf
"addis_ababa",0.509047,19,Inf
"addis_ababa",0.509047,19,Inf
"addis_ababa",0.503123,19,Inf
"addis_ababa",0.489765,19,Inf
"addis_ababa",0.566973,19,Inf
"addis_ababa",0.571436,19,Inf
"addis_ababa",0.571436,19,Inf
"addis_ababa",0.571436,19,Inf
"addis_ababa",0.653583,19,17
"addis_ababa",0.559482,19,Inf
"addis_ababa",0.559482,19,Inf
"addis_ababa",0.559482,19,Inf
"addis_ababa",0.699948,19,Inf
"addis_ababa",0.699948,19,Inf
"addis_ababa",0.478881,19,Inf
"addis_ababa",0.419123,19,Inf
"addis_ababa",0.419123,19,Inf
"addis_ababa",0.520776,19,Inf
"addis_ababa",0.520776,19,Inf
"addis_ababa",0.111606,19,Inf
"addis_ababa",0.111606,19,Inf
"addis_ababa",0.111606,19,Inf
"addis_ababa",0.111606,19,Inf
"addis_ababa",0.411063,19,Inf
"addis_ababa",0.947789,19,Inf
"addis_ababa",0.37311,19,Inf
"addis_ababa",0.37311,19,Inf
"addis_ababa",0.37311,19,Inf
"addis_ababa",0.37311,19,Inf
"addis_ababa",0.37311,19,Inf
"addis_ababa",0.37311,19,Inf
"addis_ababa",0.37311,19,Inf
"addis_ababa",0.37311,19,Inf
"addis_ababa",0.404154,19,Inf
"addis_ababa",0.404154,19,Inf
"addis_ababa",0.404154,19,Inf
"addis_ababa",0.540588,19,Inf
"addis_ababa",0.540588,19,Inf
"addis_ababa",0.540588,19,Inf
"addis_ababa",0.540588,19,Inf
"addis_ababa",0.411802,19,Inf
"addis_ababa",0.411802,19,Inf
"addis_ababa",0.411802,19,Inf
"addis_ababa",0.643373,19,Inf
"addis_ababa",0.643373,19,Inf
"addis_ababa",0.643373,19,Inf
"addis_ababa",0.627089,19,Inf
"addis_ababa",0.489805,19,Inf
"addis_ababa",0.450923,19,Inf
"addis_ababa",0.564132,19,Inf
"addis_ababa",0.564132,19,Inf
"addis_ababa",0.564132,19,Inf
"addis_ababa",0.388463,19,Inf
"addis_ababa",0.487009,19,Inf
"addis_ababa",0.479933,19,Inf
"addis_ababa",0.479933,19,Inf
"addis_ababa",0.479933,19,Inf
"addis_ababa",0.548271,19,Inf
"addis_ababa",0.430932,19,Inf
"addis_ababa",0.430932,19,Inf
"addis_ababa",0.442586,19,Inf
"addis_ababa",0.442586,19,Inf
"addis_ababa",0.637581,19,Inf
"addis_ababa",0.462503,20,Inf
"addis_ababa",0.556598,20,Inf
"addis_ababa",0.5601,20,Inf
"addis_ababa",0.5601,20,18
"addis_ababa",0.596064,20,Inf
"addis_ababa",0.55862,20,Inf
"addis_ababa",0.382735,20,Inf
"addis_ababa",0.382735,20,Inf
"addis_ababa",0.527982,20,Inf
"addis_ababa",0.527982,20,Inf
"addis_ababa",0.406922,20,Inf
"addis_ababa",0.545426,20,Inf
"addis_ababa",0.363043,20,Inf
"addis_ababa",0.571531,20,Inf
"addis_ababa",0.571531,20,Inf
"addis_ababa",0.509047,20,Inf
"addis_ababa",0.503123,20,Inf
"addis_ababa",0.503123,20,Inf
"addis_ababa",0.571436,20,Inf
"addis_ababa",0.449799,20,Inf
"addis_ababa",0.449799,20,Inf
"addis_ababa",0.449799,20,Inf
"addis_ababa",0.653583,20,Inf
"addis_ababa",0.559482,20,Inf
"addis_ababa",0.559482,20,Inf
"addis_ababa",0.559482,20,Inf
"addis_ababa",0.699948,20,Inf
"addis_ababa",0.699948,20,Inf
"addis_ababa",0.699948,20,Inf
"addis_ababa",0.478881,20,Inf
"addis_ababa",0.419123,20,Inf
"addis_ababa",0.419123,20,Inf
"addis_ababa",0.419123,20,Inf
"addis_ababa",0.520776,20,Inf
"addis_ababa",0.662023,20,17
"addis_ababa",0.662023,20,Inf
"addis_ababa",0.662023,20,18
"addis_ababa",0.111606,20,Inf
"addis_ababa",0.111606,20,Inf
"addis_ababa",0.111606,20,Inf
"addis_ababa",0.111606,20,Inf
"addis_ababa",0.111606,20,Inf
"addis_ababa",0.411063,20,Inf
"addis_ababa",0.37311,20,18
"addis_ababa",0.37311,20,14
"addis_ababa",0.37311,20,Inf
"addis_ababa",0.37311,20,Inf
"addis_ababa",0.37311,20,Inf
"addis_ababa",0.37311,20,Inf
"addis_ababa",0.404154,20,Inf
"addis_ababa",0.404154,20,Inf
"addis_ababa",0.404154,20,Inf
"addis_ababa",0.540588,20,18
"addis_ababa",0.540588,20,Inf
"addis_ababa",0.540588,20,Inf
"addis_ababa",0.957685,20,Inf
"addis_ababa",0.957685,20,Inf
"addis_ababa",0.411802,20,Inf
"addis_ababa",0.643373,20,Inf
"addis_ababa",0.643373,20,19
"addis_ababa",0.485141,20,Inf
"addis_ababa",0.485141,20,Inf
"addis_ababa",0.485141,20,Inf
"addis_ababa",0.485141,20,Inf
"addis_ababa",0.627089,20,Inf
"addis_ababa",0.627089,20,Inf
"addis_ababa",0.627089,20,Inf
"addis_ababa",0.627089,20,Inf
"addis_ababa",0.489805,20,Inf
"addis_ababa",0.427583,20,Inf
"addis_ababa",0.427583,20,Inf
"addis_ababa",0.427583,20,Inf
"addis_ababa",0.427583,20,Inf
"addis_ababa",0.708431,20,Inf
"addis_ababa",0.708431,20,Inf
"addis_ababa",0.564132,20,Inf
"addis_ababa",0.564132,20,Inf
"addis_ababa",0.591263,20,Inf
"addis_ababa",0.591263,20,Inf
"addis_ababa",0.487009,20,Inf
"addis_ababa",0.487009,20,Inf
"addis_ababa",0.487009,20,Inf
"addis_ababa",0.479933,20,Inf
"addis_ababa",0.479933,20,Inf
"addis_ababa",0.479933,20,Inf
"addis_ababa",0.548271,20,Inf
"addis_ababa",0.430932,20,Inf
"addis_ababa",0.430932,20,Inf
"addis_ababa",0.430932,20,Inf
"addis_ababa",0.5601,21,Inf
"addis_ababa",0.349625,21,Inf
"addis_ababa",0.349625,21,Inf
"addis_ababa",0.596064,21,Inf
"addis_ababa",0.596064,21,Inf
"addis_ababa",0.596064,21,Inf
"addis_ababa",0.55862,21,20
"addis_ababa",0.382735,21,Inf
"addis_ababa",0.382735,21,Inf
"addis_ababa",0.527982,21,Inf
"addis_ababa",0.406922,21,Inf
"addis_ababa",0.406922,21,Inf
"addis_ababa",0.672066,21,Inf
"addis_ababa",0.672066,21,20
"addis_ababa",0.672066,21,Inf
"addis_ababa",0.672066,21,Inf
"addis_ababa",0.545426,21,Inf
"addis_ababa",0.363043,21,Inf
"addis_ababa",0.571531,21,Inf
"addis_ababa",0.571531,21,Inf
