"region","age","parity","Freq","percentage"
"benishangul_gumuz","25-29","6",1.095359,0.682816689988591
"benishangul_gumuz","30-34","0",1.167558,0.727823561891306
"benishangul_gumuz","30-34","1",1.432499,0.892980498258531
"benishangul_gumuz","30-34","2",3.729094,2.32461468955504
"benishangul_gumuz","30-34","3",3.276449,2.0424482394324
"benishangul_gumuz","30-34","4",4.831913,3.01208173847373
"benishangul_gumuz","30-34","5",3.517794,2.19289607803626
"benishangul_gumuz","30-34","6",4.898963,3.05387886531866
"benishangul_gumuz","35-39","0",0.582451,0.363083942251394
"benishangul_gumuz","35-39","1",1.144505,0.713452955401281
"benishangul_gumuz","35-39","2",1.489515,0.928522705330723
"benishangul_gumuz","35-39","3",2.013298,1.25503462912219
"benishangul_gumuz","35-39","4",3.028236,1.88771907842478
"benishangul_gumuz","35-39","5",4.674769,2.91412248864644
"benishangul_gumuz","35-39","6",8.95342,5.58131590508468
"benishangul_gumuz","40-44","0",0.166429,0.103747263589482
"benishangul_gumuz","40-44","1",0.170374,0.10620646814434
"benishangul_gumuz","40-44","2",0.884124,0.551138597683018
"benishangul_gumuz","40-44","3",1.315224,0.819874487061826
"benishangul_gumuz","40-44","4",1.300003,0.810386134075895
"benishangul_gumuz","40-44","5",3.500118,2.18187734553647
"benishangul_gumuz","40-44","6",5.859927,3.65291740672672
"benishangul_gumuz","45-49","0",0,0
"benishangul_gumuz","45-49","1",0.203052,0.12657703505021
"benishangul_gumuz","45-49","2",0.512246,0.319320075135089
"benishangul_gumuz","45-49","3",0.917101,0.571695552969599
"benishangul_gumuz","45-49","4",1.709624,1.06573260529658
"benishangul_gumuz","45-49","5",1.105195,0.688948182004202
"benishangul_gumuz","45-49","6",3.531475,2.20142443735566
"central","15-19","0",609.838094999999,18.547201963957
"central","15-19","1",63.629839,1.93519474192092
"central","15-19","2",7.090986,0.215660436013909
"central","15-19","3",0,0
"central","15-19","4",0,0
"central","15-19","5",0,0
"central","15-19","6",0,0
"central","20-24","0",269.006789,8.18138992326901
"central","20-24","1",149.41921,4.54433445185956
"central","20-24","2",104.64917,3.18272883780813
"central","20-24","3",39.023334,1.1868291976823
"central","20-24","4",7.258902,0.220767319284263
"central","20-24","5",1.438423,0.0437472209580494
"central","20-24","6",0,0
"central","25-29","0",128.471137,3.90723397572956
"central","25-29","1",94.097522,2.86181817625199
"central","25-29","2",131.791805,4.00822651876059
"central","25-29","3",144.269129,4.38770338334992
"central","25-29","4",102.124004,3.10593015274973
"central","25-29","5",45.570414,1.38594764572576
"central","25-29","6",19.349272,0.588475627518052
"central","30-34","0",24.163164,0.734882071931265
"central","30-34","1",31.3103,0.952250215939828
"central","30-34","2",45.79698,1.39283827029418
"central","30-34","3",85.271871,2.59340081613217
"central","30-34","4",113.381788,3.44831675540138
"central","30-34","5",85.517557,2.6008729434051
"central","30-34","6",97.763989,2.97332761539778
"central","35-39","0",10.725115,0.326186369173387
"central","35-39","1",6.987634,0.212517158424176
"central","35-39","2",25.87438,0.786925834064483
"central","35-39","3",32.849925,0.999075325846675
"central","35-39","4",68.866595,2.09446188505989
"central","35-39","5",71.641533,2.17885696622231
"central","35-39","6",189.064825,5.7500892815743
"central","40-44","0",9.324346,0.283584331418021
"central","40-44","1",5.825431,0.177170705093614
"central","40-44","2",7.513922,0.228523324498808
"central","40-44","3",28.991857,0.881738663914003
"central","40-44","4",32.4395,0.986592938425376
"central","40-44","5",61.91864,1.88315149681416
"central","40-44","6",140.215084,4.26440640993607
"central","45-49","0",4.312572,0.131159638146426
"central","45-49","1",3.116238,0.0947751477443492
"central","45-49","2",3.567117,0.108487875668155
"central","45-49","3",14.002602,0.425865634574548
"central","45-49","4",17.851057,0.542909933248937
"central","45-49","5",26.240933,0.798073928250849
"central","45-49","6",126.469873,3.84636889056102
"dire_dawa","15-19","0",18.038009,19.9548993833499
"dire_dawa","15-19","1",2.349843,2.59955966490919
"dire_dawa","15-19","2",0,0
"dire_dawa","15-19","3",0,0
"dire_dawa","15-19","4",0,0
"dire_dawa","15-19","5",0,0
"dire_dawa","15-19","6",0,0
"dire_dawa","20-24","0",9.322265,10.3129375365055
"dire_dawa","20-24","1",4.020115,4.4473306524293
"dire_dawa","20-24","2",2.019863,2.23451285189797
"dire_dawa","20-24","3",1.08927,1.20502618949251
"dire_dawa","20-24","4",0.214908,0.237746167921136
"dire_dawa","20-24","5",0,0
"dire_dawa","20-24","6",0,0
"dire_dawa","25-29","0",4.793858,5.30329894214306
"dire_dawa","25-29","1",3.849245,4.25830238120308
"dire_dawa","25-29","2",4.3136,4.77200415966186
"dire_dawa","25-29","3",2.193656,2.42677474890282
"dire_dawa","25-29","4",1.848285,2.04470134185845
"dire_dawa","25-29","5",1.079208,1.19389490567979
"dire_dawa","25-29","6",0.518508,0.573609591250452
"dire_dawa","30-34","0",1.902217,2.10436466908835
"dire_dawa","30-34","1",2.495474,2.76066679996477
"dire_dawa","30-34","2",2.942203,3.25486947203487
"dire_dawa","30-34","3",1.91723,2.12097309324659
"dire_dawa","30-34","4",1.726208,1.90965127884866
"dire_dawa","30-34","5",0.910083,1.00679707474906
"dire_dawa","30-34","6",1.886029,2.08645637825549
"dire_dawa","35-39","0",0.749353,0.828986376357357
"dire_dawa","35-39","1",1.188954,1.31530355935799
"dire_dawa","35-39","2",1.51846,1.67982600062132
"dire_dawa","35-39","3",1.660513,1.83697490336902
"dire_dawa","35-39","4",1.379308,1.52588638572303
"dire_dawa","35-39","5",0.948783,1.04960970479795
"dire_dawa","35-39","6",1.600009,1.77004117291738
"dire_dawa","40-44","0",0.752216,0.832153625965367
"dire_dawa","40-44","1",0.585682,0.64792213933584
"dire_dawa","40-44","2",0.650937,0.720111756230947
"dire_dawa","40-44","3",0.639042,0.706952680405841
"dire_dawa","40-44","4",1.362794,1.50761745102982
"dire_dawa","40-44","5",0.70295,0.777652152270564
"dire_dawa","40-44","6",2.049625,2.26743764506374
"dire_dawa","45-49","0",0.230028,0.254472962916983
"dire_dawa","45-49","1",0.72122,0.79786369622388
"dire_dawa","45-49","2",0.540944,0.598429853983709
"dire_dawa","45-49","3",0.911589,1.00846311663158
"dire_dawa","45-49","4",0.695602,0.769523283908825
"dire_dawa","45-49","5",0.287274,0.317802467304039
"dire_dawa","45-49","6",1.788526,1.97859178219199
"gambela","15-19","0",7.93980099999999,18.162133171758
"gambela","15-19","1",1.262276,2.88743065619831
"gambela","15-19","2",0.139756,0.319689005247387
"gambela","15-19","3",0,0
"gambela","15-19","4",0,0
"gambela","15-19","5",0,0
"gambela","15-19","6",0,0
"gambela","20-24","0",3.077382,7.03944868446589
"gambela","20-24","1",3.560548,8.14468107455546
"gambela","20-24","2",1.79041,4.09552643095806
"gambela","20-24","3",0.264307,0.604596882494641
"gambela","20-24","4",0.156028,0.356910874028588
"gambela","20-24","5",0,0
"gambela","20-24","6",0,0
"gambela","25-29","0",1.027003,2.3492484577126
"gambela","25-29","1",2.167394,4.95786965739685
"gambela","25-29","2",2.332966,5.33661223715601
"gambela","25-29","3",1.629363,3.7271346965919
"gambela","25-29","4",0.862417,1.97276133288328
"gambela","25-29","5",0.273572,0.625790381404291
"gambela","25-29","6",0.102048,0.233432722798916
"gambela","30-34","0",0.185579,0.424508185013916
"gambela","30-34","1",0.609566,1.39436981720018
"gambela","30-34","2",1.696646,3.88104318953718
"gambela","30-34","3",1.529955,3.49974092005542
"gambela","30-34","4",1.254289,2.86916055627479
"gambela","30-34","5",1.170988,2.67861121437811
"gambela","30-34","6",0.29707,0.679541578099268
"gambela","35-39","0",0.082921,0.189680099631633
"gambela","35-39","1",0.204194,0.467089618603029
"gambela","35-39","2",0.869838,1.9897367193278
"gambela","35-39","3",0.770313,1.76207530767288
"gambela","35-39","4",0.932344,2.13271792200957
"gambela","35-39","5",0.713195,1.63141904531763
"gambela","35-39","6",1.130122,2.58513107121116
"gambela","40-44","0",0.285386,0.652814665928696
"gambela","40-44","1",0.120668,0.276025593786254
"gambela","40-44","2",0.260776,0.596519791868632
"gambela","40-44","3",0.356136,0.814653850802709
"gambela","40-44","4",0.755201,1.72750691527972
"gambela","40-44","5",0.815835,1.8662059560663
"gambela","40-44","6",0.624618,1.42880096081465
"gambela","45-49","0",0.12645,0.289251801092848
"gambela","45-49","1",0.203405,0.465284797163233
"gambela","45-49","2",0.291177,0.666061460552094
"gambela","45-49","3",0.159739,0.365399710990672
"gambela","45-49","4",0.522541,1.19530190110603
"gambela","45-49","5",0.478449,1.09444234860476
"gambela","45-49","6",0.683564,1.56363873596071
"harari","15-19","0",6.440625,16.7361387222663
"harari","15-19","1",1.002431,2.60484413787484
"harari","15-19","2",0.210564,0.547156264169281
"harari","15-19","3",0.050022,0.1299835235191
"harari","15-19","4",0,0
"harari","15-19","5",0,0
"harari","15-19","6",0,0
"harari","20-24","0",3.283795,8.53303035893014
"harari","20-24","1",2.660909,6.91444419622736
