rhs,Estimate,Std. Error,t value,Pr(>|t|),region
"age_grp(18,20]",22.669012045479686,1.4929684180201843,15.183852365437787,1.0511314971678022e-11,central
"age_grp(20,25]",0.0012303393945542003,0.6358705729557128,0.0019348896566092407,0.998477465290633,central
"age_grp(20,25]:prior_userTRUE",-0.07238763958428981,1.4100486502413414,-0.05133698016157107,0.9596224197681578,central
"age_grp(25,35]",5.185919782174066e-4,0.6898957827076532,7.516961129724177e-4,0.9994085016378009,central
"age_grp(25,35]:prior_userTRUE",0.03689897799474149,1.234821158635729,0.029882042218574142,0.9764899614201779,central
"age_grp(35,50]",0.04357991211190126,0.9133697307012786,0.04771333080902618,0.9624701250719749,central
prior_userTRUE,0.012094304657008226,1.2137930890226387,0.009964057932432874,0.9921595688843587,central
(Intercept),-25.625737162104624,0.655100753646444,-39.117245735813576,3.6757428491255784e-5,dire_dawa
"age_grp(18,20]",0.08790835648606024,0.9699452284208193,0.09063228923676958,0.9334970491674159,dire_dawa
"age_grp(20,25]",0.03936209100714144,0.7500371471906274,0.05248018868742414,0.9614451327035248,dire_dawa
"age_grp(20,25]:prior_userTRUE",-7.045978176066644e-4,1.7946560650795038,-3.9260882980129703e-4,0.9997113912199297,dire_dawa
"age_grp(25,35]",0.03865749318960364,0.754453340622106,0.05123907749911678,0.9623558463128894,dire_dawa
"age_grp(35,50]",0.10033682795374108,1.3095309401321211,0.07662043322444745,0.9437492726823056,dire_dawa
prior_userTRUE,0.1023502977812085,1.0118131931400383,0.1011553303269123,0.925808758229885,dire_dawa
(Intercept),-25.80469723470654,1.0000000000062135,-25.804697234546204,1.75565668434889e-10,gambela
"age_grp(18,20]",0.43267144021047027,1.301605048018357,0.3324137693451602,0.7464398748539642,gambela
"age_grp(20,25]",0.39064760765880496,1.2215250921294267,0.3198031789734319,0.7556988992978759,gambela
"age_grp(25,35]",0.13859662357671318,1.0724808095231078,0.12922993338998945,0.8997380145292249,gambela
"age_grp(35,50]",0.11510866940031321,1.3903351815674956,0.08279202808529744,0.9356507143155657,gambela
prior_userTRUE,-0.11116576538573358,1.3016050480203032,-0.0854066796643213,0.9336238462908141,gambela
(Intercept),-25.66668935831339,1.0000000000071303,-25.66668935813038,2.305405988810172e-7,harari
"age_grp(18,20]",0.07813943630140455,1.2113327256259518,0.06450699683774025,0.9506620314501468,harari
"age_grp(18,20]:prior_userTRUE",0.02514626464665634,1.3904993252453552,0.018084341495253335,0.9861579399206015,harari
"age_grp(20,25]",0.15132662088635293,1.4142135623840024,0.10700407980196071,0.9182739520552288,harari
"age_grp(20,25]:prior_userTRUE",-0.1636556733005086,2.133532429809449,-0.07670643811827368,0.9413509521371114,harari
"age_grp(25,35]",0.109649941831822,1.1367013625907838,0.09646328001394007,0.9262940039285654,harari
"age_grp(35,50]",0.09613091666101439,1.2880472145920712,0.07463306901483373,0.9429327547103408,harari
prior_userTRUE,0.033258263122066554,0.7636087310639218,0.04355406344781893,0.9666731570840184,harari
(Intercept),-26.605902535764248,0.4077125824833123,-65.25651568983213,9.781511684021955e-26,oromia
"age_grp(18,20]",-0.01048687998732012,0.48622588595288585,-0.02156791789636695,0.9829962470311286,oromia
"age_grp(18,20]:prior_userTRUE",-0.13389763461341792,1.306589227116953,-0.1024787529504349,0.9193489506219877,oromia
